file_path,class,source_id,url,license
/Users/troycarson/Documents/MagicFoldersTraining/Lead/freesound_417383_Piano_stab_with_kickwav.mp3,Lead,417383,https://freesound.org/people/KasDonatov/sounds/417383/,http://creativecommons.org/publicdomain/zero/1.0/
/Users/troycarson/Documents/MagicFoldersTraining/Lead/freesound_31132_superwave_p8_super_lead_cut4wav.mp3,Lead,31132,https://freesound.org/people/Calethos/sounds/31132/,http://creativecommons.org/publicdomain/zero/1.0/
/Users/troycarson/Documents/MagicFoldersTraining/Lead/freesound_31131_superwave_p8_super_lead_cut1wav.mp3,Lead,31131,https://freesound.org/people/Calethos/sounds/31131/,http://creativecommons.org/publicdomain/zero/1.0/
/Users/troycarson/Documents/MagicFoldersTraining/Lead/freesound_31130_super_lead_cut_6wav.mp3,Lead,31130,https://freesound.org/people/Calethos/sounds/31130/,http://creativecommons.org/publicdomain/zero/1.0/
/Users/troycarson/Documents/MagicFoldersTraining/Lead/freesound_31129_super_lead_cut_2wav.mp3,Lead,31129,https://freesound.org/people/Calethos/sounds/31129/,http://creativecommons.org/publicdomain/zero/1.0/
/Users/troycarson/Documents/MagicFoldersTraining/Lead/freesound_31127_super_lead_cut_13wav.mp3,Lead,31127,https://freesound.org/people/Calethos/sounds/31127/,http://creativecommons.org/publicdomain/zero/1.0/
/Users/troycarson/Documents/MagicFoldersTraining/Lead/freesound_31119_superwave_p8_super_lead_cut3wav.mp3,Lead,31119,https://freesound.org/people/Calethos/sounds/31119/,http://creativecommons.org/publicdomain/zero/1.0/
/Users/troycarson/Documents/MagicFoldersTraining/Lead/freesound_31118_super_lead_cut_9wav.mp3,Lead,31118,https://freesound.org/people/Calethos/sounds/31118/,http://creativecommons.org/publicdomain/zero/1.0/
/Users/troycarson/Documents/MagicFoldersTraining/Lead/freesound_417384_Piano_stab_with_congawav.mp3,Lead,417384,https://freesound.org/people/KasDonatov/sounds/417384/,http://creativecommons.org/publicdomain/zero/1.0/
/Users/troycarson/Documents/MagicFoldersTraining/Lead/freesound_677224_ReFX_Nexus_4_Bullet_Time_Pluck_Preset_One_Shot.mp3,Lead,677224,https://freesound.org/people/Cloud-10/sounds/677224/,http://creativecommons.org/publicdomain/zero/1.0/
/Users/troycarson/Documents/MagicFoldersTraining/Lead/freesound_832076_BrazilFunk_Lead_One_shot_2_E_Key.mp3,Lead,832076,https://freesound.org/people/Cat-Fox_Alex/sounds/832076/,http://creativecommons.org/publicdomain/zero/1.0/
/Users/troycarson/Documents/MagicFoldersTraining/Lead/freesound_832075_BrazilFunk_Lead_One_shot_1_G_Key.mp3,Lead,832075,https://freesound.org/people/Cat-Fox_Alex/sounds/832075/,http://creativecommons.org/publicdomain/zero/1.0/
